case,architecture,context_len,scenario,num_clients,dcn_bandwidth_gbps,request_id,input_len,output_len,arrival_time_ms,ttft_ms,cache_retrieval_latency_ms,end_to_end_latency_ms
E,No cache,4096,private,128,,1802,5397,88,7348.4905218640615,330.09246991387045,0.0,2060.6566104395733
E,No cache,4096,private,128,,1880,8177,58,7744.521154512583,512.292633687578,0.0,1681.6746002318132
E,No cache,4096,private,128,,1804,4494,94,7351.868679642065,252.32410809515022,0.0,2059.902860053885
E,No cache,4096,private,128,,240,5104,411,942.8677873310662,274.4173701784705,0.0,8469.463952056829
E,No cache,4096,private,128,,1511,8190,107,6276.049405546149,546.5682773917106,0.0,3138.3290418943425
E,No cache,4096,private,128,,1900,4482,66,7841.019181744501,277.02360675811724,0.0,1574.3010276921868
E,No cache,4096,private,128,,2037,8227,28,8391.436806981363,469.0483586145201,0.0,1033.7895128886958
E,No cache,4096,private,128,,1809,4495,89,7374.631445050091,283.4735820262176,0.0,2052.490350745863
E,No cache,4096,private,128,,416,5227,377,1705.6026020395634,295.28136113689607,0.0,7723.883018926823
E,No cache,4096,private,128,,1849,4498,78,7571.418315920332,245.3391133580044,0.0,1893.3347818024968
E,No cache,4096,private,128,,1965,8187,40,8092.222631833422,508.5382363346662,0.0,1366.3708396824632
E,No cache,4096,private,128,,365,5214,378,1485.193778346605,289.63801241281,0.0,7973.900853529396
E,No cache,4096,private,128,,1313,4299,181,5514.244392692825,238.31531911429647,0.0,3949.8707838004166
E,No cache,4096,private,128,,71,5180,445,285.9529698257572,286.38199132157405,0.0,9194.720520039114
E,No cache,4096,private,128,,293,5091,397,1148.9313818899557,286.79568436950603,0.0,8320.783351779064
E,No cache,4096,private,128,,1440,4277,154,6034.170412440558,247.10997956368647,0.0,3440.3748667034206
E,No cache,4096,private,128,,273,5184,400,1070.8058816634248,293.36392767237385,0.0,8417.098910319626
E,No cache,4096,private,128,,1146,5413,207,4848.173821070639,303.49442680320135,0.0,4654.176522514212
E,No cache,4096,private,128,,254,5360,416,1005.081035643284,289.1774536469578,0.0,8499.281710468475
E,No cache,4096,private,128,,1408,4165,162,5898.258635847337,234.89261826622896,0.0,3608.177629171033
E,No cache,4096,private,128,,1793,5682,104,7331.494970409114,328.13139211323323,0.0,2186.5724533783014
E,No cache,4096,private,128,,1378,4293,162,5781.104039073675,253.61274125671298,0.0,3752.7326917534474
E,No cache,4096,private,128,,484,5088,381,2022.6996155839704,280.42564593861675,0.0,7516.306506821521
E,No cache,4096,private,128,,1215,4520,200,5088.5592007068635,247.81264386186103,0.0,4438.846013593912
E,No cache,4096,private,128,,142,5212,448,513.1193628669954,292.98720954099485,0.0,9014.48413431348
E,No cache,4096,private,128,,1789,6091,100,7304.365177929059,354.56541240757633,0.0,2224.029535959189
E,No cache,4096,private,128,,402,5278,372,1660.5519002346364,298.23854794081785,0.0,7870.048503207644
E,No cache,4096,private,128,,1253,4259,224,5216.505717340347,237.71680933246716,0.0,4326.447740145705
E,No cache,4096,private,128,,184,5119,446,681.4036697595169,297.2669002634715,0.0,8854.903651004652
E,No cache,4096,private,128,,1600,4277,128,6605.614404514521,263.3325292574709,0.0,2958.5711958407337
E,No cache,4096,private,128,,1731,4492,102,7099.302662267455,292.91416581510657,0.0,2467.147026943654
E,No cache,4096,private,128,,1584,4344,130,6546.094431772106,257.8732977046984,0.0,3005.812402192427
E,No cache,4096,private,128,,1812,5159,93,7407.639053808443,292.36228201597805,0.0,2174.2995087092895
E,No cache,4096,private,128,,1832,4523,94,7502.245848383122,249.16408190087895,0.0,2095.068467131895
E,No cache,4096,private,128,,1876,5428,79,7736.783998374613,301.38354961587083,0.0,1887.7792850698515
E,No cache,4096,private,128,,1893,4490,86,7818.348642630223,262.22081332944526,0.0,1806.144404527492
E,No cache,4096,private,128,,418,5144,396,1713.6317250597824,298.5916404471511,0.0,7908.54888088175
E,No cache,4096,private,128,,349,5254,400,1379.7216764590796,297.58782804370344,0.0,8260.074587088266
E,No cache,4096,private,128,,2088,8171,28,8599.811854744425,486.8947060680275,0.0,1027.2114342682362
E,No cache,4096,private,128,,1674,4277,125,6892.865198521698,262.30863287006923,0.0,2755.5790525703287
E,No cache,4096,private,128,,189,5080,423,693.9871702521926,282.8755112667352,0.0,8941.842037711716
E,No cache,4096,private,128,,1718,5001,115,7052.019600686413,273.0190547798102,0.0,2584.087977688937
E,No cache,4096,private,128,,1959,8184,48,8075.128838686198,502.60100926917767,0.0,1562.2099403977172
E,No cache,4096,private,128,,307,5280,420,1184.6887898436332,295.82408571331985,0.0,8454.21342474395
E,No cache,4096,private,128,,1840,5024,93,7537.2690168128975,305.9104456908881,0.0,2104.7571335068187
E,No cache,4096,private,128,,1244,4531,200,5182.729420246209,269.29449186764487,0.0,4474.214029773495
E,No cache,4096,private,128,,1539,5449,147,6390.363736945876,305.0142238395265,0.0,3276.8287132378973
E,No cache,4096,private,128,,1445,4296,162,6048.672973473634,273.53101219528617,0.0,3607.577676452359
E,No cache,4096,private,128,,1816,5623,90,7415.684372668129,349.15170358900923,0.0,2257.3070345657743
E,No cache,4096,private,128,,1833,4934,91,7503.354301313394,270.81912036013455,0.0,2156.108000889587
E,No cache,4096,private,128,,1727,5448,103,7084.4702926460095,335.3006724585184,0.0,2578.6705149341424
E,No cache,4096,private,128,,2076,5027,46,8535.054499056749,311.84571828596927,0.0,1145.8424506680276
E,No cache,4096,private,128,,424,5118,396,1756.4899947301933,295.9454155007911,0.0,7926.901061184368
E,No cache,4096,private,128,,1697,5157,117,6977.681943632076,287.5582539796469,0.0,2729.0875614969655
E,No cache,4096,private,128,,1989,8203,49,8216.160460008252,460.98152452027534,0.0,1477.0195358974524
E,No cache,4096,private,128,,2227,4392,18,9173.61039952015,267.7470774593712,0.0,525.3713593042212
E,No cache,4096,private,128,,176,5149,449,629.888342797733,294.88265743167517,0.0,9071.637411228825
E,No cache,4096,private,128,,2041,6573,52,8401.9939087393,362.65447484426295,0.0,1313.1972565180768
E,No cache,4096,private,128,,1732,4492,112,7101.650509106249,295.2244362681731,0.0,2616.989813830828
E,No cache,4096,private,128,,227,5185,428,843.9268413094495,297.29300018162905,0.0,8860.265293917002
E,No cache,4096,private,128,,886,5410,285,3698.605005254868,299.9988342232855,0.0,6022.701482951895
E,No cache,4096,private,128,,1834,4492,97,7505.148688123404,280.08452289636807,0.0,2220.5220104271166
E,No cache,4096,private,128,,1597,8168,117,6592.750934301292,522.1528572397247,0.0,3120.2343656807934
E,No cache,4096,private,128,,470,5167,384,1964.632649760671,294.50936810093845,0.0,7751.894293634854
E,No cache,4096,private,128,,341,5196,408,1344.4851641518078,291.20329008900103,0.0,8379.697502420666
E,No cache,4096,private,128,,1621,4117,139,6674.929570786911,258.0692156637069,0.0,3049.2530957855615
E,No cache,4096,private,128,,465,5081,390,1948.9279345501866,277.931521588391,0.0,7782.397342179508
E,No cache,4096,private,128,,2009,4479,58,8292.192382943262,274.80693922248975,0.0,1441.248818176202
E,No cache,4096,private,128,,346,5124,411,1368.3794964899346,290.733243442977,0.0,8367.275465321358
E,No cache,4096,private,128,,374,5230,401,1528.5989583191001,298.28049151604023,0.0,8222.890233061426
E,No cache,4096,private,128,,2246,4339,14,9275.287543704939,262.790266977654,0.0,461.344437995469
E,No cache,4096,private,128,,2092,4310,51,8612.92368728977,245.09485365556793,0.0,1138.049590552595
E,No cache,4096,private,128,,1895,6390,72,7825.13005947294,394.5449258057033,0.0,1918.5528674804282
E,No cache,4096,private,128,,1268,5408,204,5259.8234931224315,299.26093166179544,0.0,4499.75653824677
E,No cache,4096,private,128,,1980,4286,66,8179.617352151441,267.8071840370558,0.0,1565.9227593217129
E,No cache,4096,private,128,,1927,4509,77,7938.130298055436,282.2496440363011,0.0,1844.7770079568236
E,No cache,4096,private,128,,1667,8623,120,6874.481987224371,500.1745832667175,0.0,2913.4412756544543
E,No cache,4096,private,128,,1831,4502,91,7500.089888230845,271.93160081843234,0.0,2287.9782840418575
E,No cache,4096,private,128,,1739,5961,122,7114.282910828144,335.5541812621168,0.0,2673.7716205434244
E,No cache,4096,private,128,,435,5197,394,1806.9764599696878,290.8631843727767,0.0,7997.4283093026825
E,No cache,4096,private,128,,1216,4302,217,5092.607002281553,236.76171959150543,0.0,4720.853672248473
E,No cache,4096,private,128,,394,5388,379,1610.6897688868983,297.8487629440913,0.0,8190.484451985748
E,No cache,4096,private,128,,321,5230,426,1248.2838411125358,300.29114414229616,0.0,8569.644105906778
E,No cache,4096,private,128,,1644,4496,137,6753.176648071542,274.87876822564067,0.0,3057.369550783652
E,No cache,4096,private,128,,241,5081,427,945.9832168556579,278.03756095223457,0.0,8867.871495766734
E,No cache,4096,private,128,,334,5162,407,1301.5573554662485,300.0697377633537,0.0,8513.483803167048
E,No cache,4096,private,128,,363,5131,401,1475.705528506815,287.7805596895753,0.0,8355.459142498472
E,No cache,4096,private,128,,2249,4416,18,9290.588958393391,270.8429437238865,0.0,544.1576316460323
E,No cache,4096,private,128,,1795,4204,114,7339.18861879629,253.4295330729774,0.0,2503.0943705303107
E,No cache,4096,private,128,,1995,4315,77,8230.504228522133,235.8209947533378,0.0,1614.2377675199368
E,No cache,4096,private,128,,1810,6057,95,7386.824019650716,378.6114043591624,0.0,2449.35126435444
E,No cache,4096,private,128,,2057,4787,51,8459.640691353461,293.19786235345055,0.0,1375.1339081551341
E,No cache,4096,private,128,,362,5199,405,1475.680941838769,290.9169551449852,0.0,8359.1125180693
E,No cache,4096,private,128,,389,5276,406,1599.7482887801511,299.2248054160191,0.0,8249.960219176814
E,No cache,4096,private,128,,1871,4510,108,7704.6452016858875,245.62250281655906,0.0,2130.930211847799
E,No cache,4096,private,128,,1873,6434,93,7713.766977165126,354.40626962301303,0.0,2122.697501978949
E,No cache,4096,private,128,,1945,8189,59,8025.098672096883,509.10893710909113,0.0,1830.3523460663619
E,No cache,4096,private,128,,1702,4322,140,6993.893145550953,240.47771569949327,0.0,2872.1572873541
E,No cache,4096,private,128,,1762,4521,106,7196.364745051819,275.4634121770996,0.0,2654.8438966501844
E,No cache,4096,private,128,,392,5161,396,1610.12173780286,293.0355732071464,0.0,8245.715447500897
E,No cache,4096,private,128,,1889,4496,91,7785.155629020362,262.5951082357342,0.0,2070.910005374967
E,No cache,4096,private,128,,1269,4261,217,5260.245434571441,247.24654302220006,0.0,4598.940262515172
E,No cache,4096,private,128,,1915,8183,67,7898.77232616617,502.85927450703093,0.0,1976.7577794023928
E,No cache,4096,private,128,,271,5162,431,1070.410340340689,289.5281220378131,0.0,8808.533773010655
